Date,Lec,Guiding Question,Topic,Topic Tag,Topic Slide Link,Assignment,Assignment Tag
9/3/2021,1,Is racism endemic in science?,Intro/Culture <-> Science Feedback Loop,intro,https://docs.google.com/presentation/d/e/2PACX-1vSdkUYgqJO3F1L-5Hi5BK0UdASbG8es0czIhPiUQ214kCXyNsMDYeeMVV2H0z_NDviAc-OuUlendRoA,Annotate,annotate
9/8/2021,2,Is racism endemic in science?,Course Structure/The Instrument,the-instrument,https://docs.google.com/presentation/d/e/2PACX-1vSOGKm7-EA13RSudCUYBhZg_IricwAWgnzf72IW8y7BSu4kCcRo0xnDum360MXpW6m06_ypkh2drwqH,,
9/10/2021,3,Is racism endemic in science?,Discussion: Types of Human Biases/CourseTeam,discussion-01,https://docs.google.com/presentation/d/e/2PACX-1vQqaDzcQSQ1V_czIu6_-vDaxQtoFUm9fGROPvhZZhE8jpIZD2EubKg8biALdaYOBwmpSiaegm3nA8Lx,Annotation Due,
9/13/2021,4,Is race biological?,Linnaeus & His Legacy,linnaeus,https://docs.google.com/presentation/d/e/2PACX-1vRNCf9xLXBcL_N93zP7s_mNdDMs3DXVbKfrP2lONNhxErX_WyvnFoJAEYzzank79TukCOQ8h4sVrjKZ,Annotate,annotate
9/15/2021,5,Is race biological?,"The Gene, the Central Dogma and Mendelian Inheritence",the-gene,,,
9/17/2021,6,Is race biological?,Us vs Them (Brown/Blue eyes),discussion-02,,Annotation Due,
9/20/2021,7,Genes and context for eugenics,Genotype vs Phenotype (Skin Color)/Human Genetics&Out of Africa Hypothesis,human-genetics,,Case Study 1,case-study-1
9/22/2021,8,Genes and context for eugenics,Galton & The Eugenics Movement,eugenics,,,
9/24/2021,9,Genes and context for eugenics,Discussion,discussion-03,,Case Study 1 Due,
9/27/2021,10,Eugenics and Modern Race Science,Genomics & The Human Genome,the-human-genome,,Annotate,annotate
9/29/2021,11,Eugenics and Modern Race Science,Return of Race Science,race-science,,,
10/1/2021,12,Eugenics and Modern Race Science,Discussion - Rosenberg et al,discussion-04,,Annotation Due,
10/4/2021,13,The Genetics of IQ and Correlation versus Causation,Genome Wide Association/Genetic Testing,genetic-testing,,Annotate,annotate
10/6/2021,14,The Genetics of IQ and Correlation versus Causation,Measuring Intelligence - Science and Society,measuring-intelligence,,,
10/8/2021,15,The Genetics of IQ and Correlation versus Causation,Discussion - RCR,discussion-05,,Annotation Due,
10/12/2021,16,Genes and Epigenetics,Acquired vs Inherited Traits,acquired-vs-inherited-traits,,Case Study 2,case-study-2
10/13/2021,17,Genes and Epigenetics,Genetics vs Epigenetics (Basics of Epi),genetics-vs-epigenetics,,,
10/15/2021,18,Genes and Epigenetics,Discussion - Race and Epigenetics,discussion-06,,Case Study 2 Due,
10/18/2021,19,Epigenetics and Context for Health Care,Epigenetics in Human Health,epigenetics,,Annotate,annotate
10/20/2021,20,Epigenetics and Context for Health Care,Environmental Effects & Toxicity,environment,,,
10/22/2021,21,Epigenetics and Context for Health Care,Discussion,discussion-07,,Annotation Due,
10/25/2021,22,Biological Effects of Chronic Stress,Sources and Types of Stress,stress-sources,,Annotate,annotate
10/27/2021,23,Biological Effects of Chronic Stress,Biological Effects of Chronic Stress,stress-biology,,,
10/29/2021,24,Biological Effects of Chronic Stress,Discussion,discussion-08,,Annotation Due,
11/1/2021,25,Algorithmic Bias,Algoritmic Bias,algorithmic-bias,,Case Study,case-study-3
11/3/2021,26,Algorithmic Bias,"""Correcting"" for race",correcting-for-race,,,
11/5/2021,27,Algorithmic Bias,Discussion,discussion-09,,Case Study 3 Due,
11/8/2021,28,Racism in Healthcare - from Predisposition to Patient Treatment,Data in Healthcare,data-in-healthcare,,Project Proposal,project
11/10/2021,29,Racism in Healthcare - from Predisposition to Patient Treatment,Race-Correction and Health Disparities,race-correction-and-health,,,
11/12/2021,30,Racism in Healthcare - from Predisposition to Patient Treatment,Discussion,discussion-10,,,
11/15/2021,31,Reversing the Biological Effects of Racism,Socio-economic-environmental Factors,socio-economic-environ,,,
11/17/2021,32,Reversing the Biological Effects of Racism,"""Economic Inheritance"" - Generational Wealth",economic-inheritance,,,
11/19/2021,33,Reversing the Biological Effects of Racism,Discussion,discussion-11,,Proposal Due,project
11/22/2021,34,Changes to Ethical Practices in Science - Accountability and Opportunity,"The ""Leaky Pipeline""",the-leaky-pipeline,,,
11/24/2021,,,Thanksgiving break,,,,
11/26/2021,,,Thanksgiving break,,,,
11/29/2021,35,Changes to Ethical Practices in Science - Accountability and Opportunity,Increasing representation & diversity,increasing-diversity,,,
12/1/2021,36,Changes to Ethical Practices in Science - Accountability and Opportunity,Discussion,discussion-12,,,
12/3/2021,37,Science Communication - A Weapon Against Racism,Critical Pedagogy,critical-pedagogy,,,
12/6/2021,38,Science Communication - A Weapon Against Racism,How To Bring Up Race in the Lab,how-to-bring-up-race,,,
12/8/2021,39,Science Communication - A Weapon Against Racism,Discussion,discussion-13,,,
12/10/2021,40,How do we teach others to fight racism?,Retrospective & An Activist Future,the-future,,,
12/18/2021,,,Last day of exams,,,Project Due,project
